rank,image_id,source,label,logit
1,progan/bottle/1_fake/06154.png,progan,1,3.275069898974573
2,gaugan/1_fake/000000407524.png,gaugan,1,2.8891073202769464
3,progan/boat/1_fake/03711.png,progan,1,2.805932865469367
4,gaugan/1_fake/000000352900.png,gaugan,1,2.7301553045845117
5,gaugan/1_fake/000000036936.png,gaugan,1,2.729563495982436
6,gaugan/1_fake/000000124636.png,gaugan,1,2.715178249646545
7,progan/person/1_fake/14864.png,progan,1,2.6915273851024373
8,whichfaceisreal/1_fake/image-2019-02-17_003040.jpeg,whichfaceisreal,1,2.686736001862655
9,imle/1_fake/00104926.png,imle,1,2.6865549662240085
10,progan/boat/1_fake/17426.png,progan,1,2.663149325303196
11,progan/chair/1_fake/15994.png,progan,1,2.657117471175978
12,gaugan/1_fake/000000481573.png,gaugan,1,2.64726606214629
13,progan/person/1_fake/10641.png,progan,1,2.637960719904676
14,gaugan/1_fake/000000145020.png,gaugan,1,2.636444645243806
15,imle/1_fake/00103040.png,imle,1,2.630282551853035
16,progan/tvmonitor/1_fake/08828.png,progan,1,2.6264187033940694
17,gaugan/1_fake/000000246308.png,gaugan,1,2.622277785199432
18,gaugan/1_fake/000000098633.png,gaugan,1,2.617117477093367
19,gaugan/1_fake/000000147729.png,gaugan,1,2.6123241959697143
20,progan/bottle/1_fake/19433.png,progan,1,2.603966071009957
21,gaugan/1_fake/000000440336.png,gaugan,1,2.5993794151245417
22,imle/1_fake/00104913.png,imle,1,2.596895391324682
23,biggan/1_fake/00103278.png,biggan,1,2.592263575796341
24,gaugan/1_fake/000000521259.png,gaugan,1,2.5884194386798685
25,stylegan2/car/1_fake/000468.png,stylegan2,1,2.57784002097839
26,imle/1_fake/00102118.png,imle,1,2.577566618357092
27,gaugan/1_fake/000000110784.png,gaugan,1,2.5617449566047874
28,gaugan/1_fake/000000287959.png,gaugan,1,2.5598217719872136
29,gaugan/1_fake/000000273420.png,gaugan,1,2.5592476360868286
30,progan/horse/1_fake/00519.png,progan,1,2.5588079844229297
31,progan/train/1_fake/14798.png,progan,1,2.5355514777231427
32,biggan/1_fake/00492280.png,biggan,1,2.5332969052847867
33,gaugan/1_fake/000000186422.png,gaugan,1,2.532444336688843
34,gaugan/1_fake/000000301718.png,gaugan,1,2.5303376443762806
35,progan/bottle/1_fake/12455.png,progan,1,2.5286740386370496
36,gaugan/1_fake/000000320642.png,gaugan,1,2.525056860365805
37,progan/motorbike/1_fake/15133.png,progan,1,2.5217586564974743
38,gaugan/1_fake/000000179265.png,gaugan,1,2.5203553201609648
39,gaugan/1_fake/000000348488.png,gaugan,1,2.5128857389081
40,imle/1_fake/00102063.png,imle,1,2.5092471116687625
41,gaugan/1_fake/000000430056.png,gaugan,1,2.4948881883826264
42,gaugan/1_fake/000000300276.png,gaugan,1,2.493882519086791
43,gaugan/1_fake/000000316666.png,gaugan,1,2.4910812121266783
44,gaugan/1_fake/000000165518.png,gaugan,1,2.489898389818343
45,progan/horse/1_fake/18207.png,progan,1,2.48599921875714
46,imle/1_fake/00100182.png,imle,1,2.4834935429531644
47,progan/bird/1_fake/03527.png,progan,1,2.4833844229977045
48,gaugan/1_fake/000000516601.png,gaugan,1,2.475413215182292
49,gaugan/1_fake/000000259571.png,gaugan,1,2.4737280504011405
50,imle/1_fake/00103885.png,imle,1,2.4715078909261625
51,gaugan/1_fake/000000532530.png,gaugan,1,2.470265492652757
52,gaugan/1_fake/000000571718.png,gaugan,1,2.4699976992491908
53,gaugan/1_fake/000000057760.png,gaugan,1,2.4590499123572567
54,gaugan/1_fake/000000159791.png,gaugan,1,2.458986014543299
55,biggan/1_fake/00394594.png,biggan,1,2.45221409965981
