source,label,n,q25,median,q75
biggan,0,76,-1.3859244269013318,-1.0330721194913186,-0.7099951812901523
biggan,1,62,1.6923904466516835,1.9127066498912377,2.1495364180594945
cyclegan,0,58,-0.9778612369179365,-0.7765596349203132,-0.2985213291275785
cyclegan,1,53,1.5565599518065576,1.7770846028984888,1.9725650221540048
deepfake,0,107,-1.3479454188765243,-1.1122147731904697,-0.8929680299324654
deepfake,1,92,-0.601038700840736,-0.1595558609501711,0.14906761591435091
gaugan,0,173,-1.0353854949529604,-0.7530062457085055,-0.3886179422912941
gaugan,1,188,1.9773031475282565,2.183480956544594,2.3616808393457713
ldm_200,0,31,-1.7252281481210736,-1.4575688942692266,-0.826636844720231
ldm_200,1,39,0.6924118287184775,1.099660505410767,1.6340100743682782
progan,0,150,-2.4766907533352676,-2.1831226639164028,-1.9353808738536091
progan,1,161,1.999642798248629,2.163734356115328,2.3152602515337675
stylegan2,0,327,-2.403589848260143,-2.074376831612928,-1.6240291327606426
stylegan2,1,315,-0.36494547417853035,0.0921153399416864,0.65886407413896
whichfaceisreal,0,43,-0.957774138628631,-0.5845960650021957,-0.34414284428226183
whichfaceisreal,1,34,1.3504311601075554,1.5734293062194922,1.8703789864118663
