source,label,image_id,logit,group_median_logit,n_in_group,origin
progan,0,progan/sheep/0_real/13026.png,-2.18093918658169,-2.1831226639164028,150,LSUN / sheep
progan,1,progan/horse/1_fake/15599.png,2.163734356115328,2.163734356115328,161,ProGAN
stylegan2,0,stylegan2/cat/0_real/04674.png,-2.074376831612928,-2.074376831612928,327,LSUN / cat
stylegan2,1,stylegan2/cat/1_fake/000545.png,0.0921153399416864,0.0921153399416864,315,StyleGAN2
biggan,0,biggan/0_real/671--n03792782_21148.png,-1.0330368307400215,-1.0330721194913186,76,ImageNet
biggan,1,biggan/1_fake/00180120.png,1.9092164171185968,1.9127066498912377,62,BigGAN
cyclegan,0,cyclegan/apple/0_real/n07740461_91_real.png,-0.7763314451487101,-0.7765596349203132,58,apple subset
cyclegan,1,cyclegan/summer/1_fake/2014-03-08 12:26:51_fake.png,1.7770846028984888,1.7770846028984888,53,CycleGAN
gaugan,0,gaugan/0_real/000000085576.png,-0.7530062457085055,-0.7530062457085055,173,COCO
gaugan,1,gaugan/1_fake/000000281693.png,2.185791922153789,2.183480956544594,188,GauGAN
deepfake,0,deepfake/0_real/453_0263.png,-1.1122147731904697,-1.1122147731904697,107,FaceForensics++
deepfake,1,deepfake/1_fake/875_979_0339.png,-0.1860432001548903,-0.1595558609501711,92,Deepfake
whichfaceisreal,0,whichfaceisreal/0_real/00971.jpeg,-0.5845960650021957,-0.5845960650021957,43,WhichFaceIsReal subset
whichfaceisreal,1,whichfaceisreal/1_fake/image-2019-02-17_001212.jpeg,1.5785532506605642,1.5734293062194922,34,WhichFaceIsReal
ldm_200,0,ldm_200/0_real/gczswsnqpp.jpg,-1.4575688942692266,-1.4575688942692266,31,LDM-200 subset
ldm_200,1,ldm_200/1_fake/xxxlutdoia.png,1.099660505410767,1.099660505410767,39,LDM-200
