dataset,split,source,attribute,n,q25,median,q75
synthclic,train,FLUX.1-dev,beauty,1633,0.9288196289052871,0.9774660868334624,0.9921874810645394
synthclic,train,FLUX.1-dev,brightness,1633,0.5831975741873324,0.8625164838838487,0.9717005429067116
synthclic,train,FLUX.1-dev,colorfulness,1633,0.5152782606196354,0.8466334039786149,0.9656271811137662
synthclic,train,FLUX.1-dev,complexity,1633,0.250710573672382,0.4470145239289613,0.66791304003781
synthclic,train,FLUX.1-dev,contrast,1633,0.25915134805381007,0.39520279277976633,0.5291200925661885
synthclic,train,FLUX.1-dev,happiness,1633,0.44224844554391485,0.6886640377870985,0.8582431049432698
synthclic,train,FLUX.1-dev,loneliness,1633,0.636991381499213,0.8343770540500657,0.9341263031729582
synthclic,train,FLUX.1-dev,naturalness,1633,0.6910772772153273,0.891132374152632,0.9580179191249225
synthclic,train,FLUX.1-dev,newness,1633,0.598370047748911,0.7504708649317005,0.8578218494679823
synthclic,train,FLUX.1-dev,noisiness,1633,0.05754705853084957,0.127760220527962,0.28956603375261775
synthclic,train,FLUX.1-dev,quality,1633,0.9271615567095074,0.9760206270256064,0.9903612040957214
synthclic,train,FLUX.1-dev,realness,1633,0.19371479914980055,0.3902991330074823,0.6603325784224774
synthclic,train,FLUX.1-dev,relaxation,1633,0.8530002374153817,0.9760569295120345,0.9957670829632139
synthclic,train,FLUX.1-dev,scariness,1633,0.02363776968932991,0.21220816965347486,0.7094263267244917
synthclic,train,FLUX.1-dev,sharpness,1633,0.8481032405786341,0.9531920581396734,0.9850411649931822
synthclic,train,FLUX.1-dev,warmness,1633,0.6140689234814956,0.8011388824648074,0.908973540398984
synthclic,train,FLUX.1-schnell,beauty,1633,0.9018008840837478,0.9702910762697085,0.9898516724903622
synthclic,train,FLUX.1-schnell,brightness,1633,0.5791285079279571,0.8633255214769512,0.9739687821796768
synthclic,train,FLUX.1-schnell,colorfulness,1633,0.4890591574937029,0.8351389442458377,0.9630864831310376
synthclic,train,FLUX.1-schnell,complexity,1633,0.24947954246205484,0.43898532222228276,0.6678929825742326
synthclic,train,FLUX.1-schnell,contrast,1633,0.25004955931825334,0.3852620392331051,0.5349070910321386
synthclic,train,FLUX.1-schnell,happiness,1633,0.46372657492940633,0.7182560152185196,0.8699900865017607
synthclic,train,FLUX.1-schnell,loneliness,1633,0.6740372272385786,0.8629480903634114,0.9466034718965916
synthclic,train,FLUX.1-schnell,naturalness,1633,0.6067591954632208,0.8417166753320628,0.9402839236785335
synthclic,train,FLUX.1-schnell,newness,1633,0.6566637458518537,0.792457590012447,0.8821220103801221
synthclic,train,FLUX.1-schnell,noisiness,1633,0.07635202397796866,0.19163170070357996,0.40323883186550846
synthclic,train,FLUX.1-schnell,quality,1633,0.9087728698874379,0.9686812193078935,0.9889043994149961
synthclic,train,FLUX.1-schnell,realness,1633,0.17234800589116273,0.3951820061998354,0.6682953615234223
synthclic,train,FLUX.1-schnell,relaxation,1633,0.8572794315111385,0.9727737278045243,0.9949190889290643
synthclic,train,FLUX.1-schnell,scariness,1633,0.03065426993387235,0.25585664260276064,0.7528155287231325
synthclic,train,FLUX.1-schnell,sharpness,1633,0.8580585086557647,0.9588155816530439,0.9877847653833897
synthclic,train,FLUX.1-schnell,warmness,1633,0.6007189870138255,0.7938604982856358,0.9010076937828119
