grid_row,grid_col,image_id,source,col_label,width,height
0,0,r056f233bt,raise1k,Raise1k,1024,680
0,1,r056f233bt,dalle2,DALLE2,1024,1024
0,2,r056f233bt,dalle3,DALLE3,1024,1792
0,3,r056f233bt,firefly,Firefly,2048,2048
0,4,r056f233bt,glide,Glide,256,256
0,5,r056f233bt,midjourney-v5,MJv5,1344,896
0,6,r056f233bt,stable-diffusion-1-3,SD1.3,512,512
0,7,r056f233bt,stable-diffusion-1-4,SD1.4,512,512
0,8,r056f233bt,stable-diffusion-2,SD2,1216,832
0,9,r056f233bt,stable-diffusion-xl,SDXL,1216,832
0,10,r056f233bt,imagen3,Imagen3,1280,896
0,11,r056f233bt,SD3-medium,SD3M,1024,672
0,12,r056f233bt,FLUX.1-schnell,FluxSchnell,1024,672
0,13,r056f233bt,FLUX.1-dev,FluxDev,1024,672
1,0,r1986e42bt,raise1k,Raise1k,678,1024
1,1,r1986e42bt,dalle2,DALLE2,1024,1024
1,2,r1986e42bt,dalle3,DALLE3,1024,1024
1,3,r1986e42bt,firefly,Firefly,1792,2304
1,4,r1986e42bt,glide,Glide,256,256
1,5,r1986e42bt,midjourney-v5,MJv5,896,1360
1,6,r1986e42bt,stable-diffusion-1-3,SD1.3,512,512
1,7,r1986e42bt,stable-diffusion-1-4,SD1.4,512,512
1,8,r1986e42bt,stable-diffusion-2,SD2,1152,896
1,9,r1986e42bt,stable-diffusion-xl,SDXL,1152,896
1,10,r1986e42bt,imagen3,Imagen3,896,1280
1,11,r1986e42bt,SD3-medium,SD3M,672,1024
1,12,r1986e42bt,FLUX.1-schnell,FluxSchnell,672,1024
1,13,r1986e42bt,FLUX.1-dev,FluxDev,672,1024
2,0,r0f36ba1bt,raise1k,Raise1k,1024,678
2,1,r0f36ba1bt,dalle2,DALLE2,1024,1024
2,2,r0f36ba1bt,dalle3,DALLE3,1024,1024
2,3,r0f36ba1bt,firefly,Firefly,2304,1792
2,4,r0f36ba1bt,glide,Glide,256,256
2,5,r0f36ba1bt,midjourney-v5,MJv5,1360,896
2,6,r0f36ba1bt,stable-diffusion-1-3,SD1.3,512,512
2,7,r0f36ba1bt,stable-diffusion-1-4,SD1.4,512,512
2,8,r0f36ba1bt,stable-diffusion-2,SD2,1152,896
2,9,r0f36ba1bt,stable-diffusion-xl,SDXL,1152,896
2,10,r0f36ba1bt,imagen3,Imagen3,1280,896
2,11,r0f36ba1bt,SD3-medium,SD3M,1024,672
2,12,r0f36ba1bt,FLUX.1-schnell,FluxSchnell,1024,672
2,13,r0f36ba1bt,FLUX.1-dev,FluxDev,1024,672
3,0,r1b106abdt,raise1k,Raise1k,1024,678
3,1,r1b106abdt,dalle2,DALLE2,1024,1024
3,2,r1b106abdt,dalle3,DALLE3,1024,1024
3,3,r1b106abdt,firefly,Firefly,2048,2048
3,4,r1b106abdt,glide,Glide,256,256
3,5,r1b106abdt,midjourney-v5,MJv5,1360,896
3,6,r1b106abdt,stable-diffusion-1-3,SD1.3,512,512
3,7,r1b106abdt,stable-diffusion-1-4,SD1.4,512,512
3,8,r1b106abdt,stable-diffusion-2,SD2,1344,704
3,9,r1b106abdt,stable-diffusion-xl,SDXL,1344,704
3,10,r1b106abdt,imagen3,Imagen3,1280,896
3,11,r1b106abdt,SD3-medium,SD3M,1024,672
3,12,r1b106abdt,FLUX.1-schnell,FluxSchnell,1024,672
3,13,r1b106abdt,FLUX.1-dev,FluxDev,1024,672
