grid_row,grid_col,image_id,source,col_label,width,height
0,0,IMG_20170718_191130,clic2020,CLIC,1365,768
0,1,IMG_20170718_191130,imagen3,Imagen3,1408,768
0,2,IMG_20170718_191130,SD3-medium,SD3M,1365,768
0,3,IMG_20170718_191130,FLUX.1-dev,FLUXDev,1365,768
0,4,IMG_20170718_191130,FLUX.1-schnell,FLUXSchnell,1365,768
1,0,IMG_20170114_195650,clic2020,CLIC,768,1024
1,1,IMG_20170114_195650,imagen3,Imagen3,768,1097
1,2,IMG_20170114_195650,SD3-medium,SD3M,768,1024
1,3,IMG_20170114_195650,FLUX.1-dev,FLUXDev,768,1024
1,4,IMG_20170114_195650,FLUX.1-schnell,FLUXSchnell,768,1024
2,0,alex-wong-17997,clic2020,CLIC,1152,768
2,1,alex-wong-17997,imagen3,Imagen3,1097,768
2,2,alex-wong-17997,SD3-medium,SD3M,1170,768
2,3,alex-wong-17997,FLUX.1-dev,FLUXDev,1170,768
2,4,alex-wong-17997,FLUX.1-schnell,FLUXSchnell,1170,768
3,0,claudio-testa-135408,clic2020,CLIC,1228,768
3,1,claudio-testa-135408,imagen3,Imagen3,1408,768
3,2,claudio-testa-135408,SD3-medium,SD3M,1228,768
3,3,claudio-testa-135408,FLUX.1-dev,FLUXDev,1228,768
3,4,claudio-testa-135408,FLUX.1-schnell,FLUXSchnell,1228,768
