cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label
panning,1.034495286405564,0.027253333655064008,0.026344570162091192,0.02507138234191465,0.02931829590732496,1712,428,4,0.1221063630399994,detail_texture,"subject sharp with
streaked background"
low_light_noise,0.9029527808162342,0.020781688145611696,0.023015254603707912,0.019018519204114584,0.022649098424898522,1712,428,4,0.3056180049154163,detail_texture,clean low light
mirrorless_cues,0.8843075139058888,0.0329613799830776,0.037273662684930514,0.030021585572999557,0.03598378571692825,1712,428,4,0.1442464608369274,provenance_process,"mirrorless capture cues
present"
framing,0.830568948416776,0.021294191092011867,0.02563807752818437,0.019245641239667596,0.023312848651365077,1712,428,4,0.3330099346223908,detail_texture,clean framing
dashcam_cues,0.8287725478763622,0.023343153532531396,0.02816593478192013,0.02126234545782548,0.025561924548335637,1712,428,4,0.0462894166411052,provenance_process,"dashcam capture cues
present"
global_illumination,0.8249668976061425,0.02029772222791214,0.024604286895403074,0.018353847698981622,0.022275745720844363,1712,428,4,0.1143025929340595,other,visible bounce light
sharpness,0.8218090328108482,0.018266031424815577,0.022226613112708123,0.016579510990359914,0.020011944239963487,1712,428,4,0.0883930990641269,detail_texture,sharp detail
material_specularity,0.7873666541831197,0.017479826680969212,0.022200364452955215,0.015700366162556503,0.01918198213587789,1712,428,4,0.0517988143234862,other,correct specular response
drone_camera_cues,0.7155142915651242,0.022521805446499073,0.03147638797994463,0.01996979936298645,0.0252511838880728,1712,428,4,0.1397162047856794,provenance_process,drone aerial cues present
dslr_cues,0.7072716045843374,0.02644543372482488,0.03739077541557296,0.02325220437191885,0.02970409634631903,1712,428,4,0.1505349101369976,provenance_process,DSLR capture cues present
composition_balance,0.6884807287843419,0.016382117828466405,0.02379459169088508,0.01451273356973707,0.018200710024139376,1712,428,4,0.1741127262749222,detail_texture,balanced composition
sunstars,0.6827883569093967,0.016595230316519834,0.024305086852443144,0.014596070007273493,0.01849377357407676,1712,428,4,0.1455142232352142,physics_optics,"clean well defined
sunstars"
night_vision_cues,0.6718509465214707,0.020630045610031816,0.030706283464873457,0.018137891895782167,0.023194366249080754,1712,428,4,0.1410380546850132,provenance_process,night vision cues present
cctv_cues,0.670466613768994,0.01971097466166314,0.029398890648497617,0.01740895720239339,0.02226153364033305,1712,428,4,0.1146486653001236,provenance_process,CCTV capture cues present
depth_layering,0.6663258720712315,0.017157295478823546,0.025749105952454145,0.01505202074251406,0.01929188643896005,1712,428,4,0.1755824002094562,other,"natural layer order errors
absent"
infrared_camera_cues,0.6596809878048143,0.022837538365140367,0.03461906404356997,0.019940702086985715,0.025820267810102566,1712,428,4,0.0623303409578516,provenance_process,"infrared capture cues
present"
specular_highlights,0.6552158881654736,0.014815300804198116,0.022611327154595094,0.013012623393736622,0.01657314418206259,1712,428,4,0.1222377244580621,other,realistic highlight shape
lens_flare,0.6378796884880628,0.018841825034465628,0.029538211318697966,0.016533240327549787,0.021233026573091278,1712,428,4,0.0550881413943128,physics_optics,controlled lens flare
long_exposure,0.6167238881081387,0.014554975995267094,0.02360047385210895,0.012728653684842347,0.016513998182159796,1712,428,4,0.2346999314348058,detail_texture,smooth motion trails
flash_use,0.5927464032566419,0.015011320654683124,0.02532503035397359,0.012961881332757573,0.017190173143560576,1712,428,4,0.0116754061699199,detail_texture,balanced fill flash
edge_aliasing,0.5920375338002949,0.012905839176064292,0.02179902191879893,0.011188402095832469,0.014778698585700809,1712,428,4,0.0929773387009529,other,smooth edges
symmetry,0.5764608399643523,0.015372186057658208,0.026666487976197667,0.013135869810831785,0.017494666581943718,1712,428,4,0.1739373400280597,detail_texture,pleasing symmetry
hair_realism,0.5675815707790413,0.014685566130859999,0.02587393052720711,0.01256564100213583,0.0167995678009819,1712,428,4,0.0777932329084299,other,resolved hair strands
focus_stacking,0.567264019993717,0.01825321278498008,0.0321776318286188,0.015598304419275606,0.02100277867860326,1712,428,4,0.1541936393251201,detail_texture,clean focus stack
studio_quality,0.5566029118956662,0.016787617839051954,0.03016085162378516,0.014301703213308398,0.01930904371463807,1712,428,4,0.129699857213973,other,studio lighting control
clarity,0.5559802430931047,0.014182778262835692,0.025509500452627842,0.012163735063598772,0.016379080520382196,1712,428,4,0.2565942850440343,detail_texture,high clarity
action_camera_cues,0.5512908771010283,0.015248742231539122,0.027660066336894364,0.013006251588117091,0.017537466734887788,1712,428,4,0.1264760237915528,provenance_process,wide FOV action cam cues
perspective_coherence,0.5282902125340856,0.013111832230154432,0.024819373743950348,0.011249580023208331,0.01500564804079724,1712,428,4,0.1370270776956381,other,coherent perspective lines
bokeh_quality,0.5006811251666412,0.013634534783382023,0.02723197280273758,0.011542040531581716,0.01590396272098902,1712,428,4,0.0527707012271288,physics_optics,creamy circular bokeh
face_anatomy,0.497838627486995,0.011098057845783289,0.02229248040033455,0.009405274252686622,0.01291189396301434,1712,428,4,0.1675315184383883,other,correct facial anatomy
silhouette,0.4977010652479932,0.011866663048386242,0.023842952882717566,0.009906007701501162,0.01381991034414089,1712,428,4,0.1164672263427203,detail_texture,clear silhouette
