cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label,panel,in_both_panels
instant_camera_cues,-0.7059110910084114,-0.016882561249446138,0.023915988096077343,-0.018803722939263887,-0.014989877398477241,1712,428,4,-0.3021847737946279,provenance_process,instant film texture,A,True
documentary_look,-0.6856010891174381,-0.01639847144102218,0.023918385926328726,-0.01836252494565691,-0.014462097186079704,1712,428,4,-0.2164612285114064,other,documentary look,A,False
text_legibility,-0.24396497643368,-0.005481890316163612,0.02246998891520735,-0.007190401913066823,-0.003776049050516015,1712,428,4,-0.1997832543768465,other,legible text,A,False
watermark,-0.5209853006306645,-0.012226171811482361,0.023467402624761782,-0.014147093930518379,-0.010326827872569137,1712,428,4,-0.1785274182295085,detail_texture,watermark absent,A,False
backlighting,0.21218767464271726,0.0048607092590253155,0.022907594737582207,0.0030741620375623886,0.006673012537655737,1712,428,4,0.1776843254576947,detail_texture,controlled rim light,A,False
exposure_accuracy,0.4484547634635918,0.011058678026941627,0.024659517364764117,0.009063502206959128,0.013026062579198186,1712,428,4,0.1824472683185344,detail_texture,well exposed,A,False
hue_consistency,0.3964903677105617,0.008248892403541767,0.020804773773378187,0.0065499323671118544,0.009822271220899419,1712,428,4,0.1824915271948846,tone_color,stable hues,A,False
matte_edges,0.44670734265544304,0.011821880004860173,0.026464485527784787,0.009638827801828542,0.013984592277733849,1712,428,4,0.1983573434666311,other,clean matte edges,A,False
long_exposure,0.6167238881081387,0.014554975995267094,0.02360047385210895,0.012728653684842347,0.016513998182159796,1712,428,4,0.2346999314348058,detail_texture,smooth motion trails,A,False
clarity,0.5559802430931047,0.014182778262835692,0.025509500452627842,0.012163735063598772,0.016379080520382196,1712,428,4,0.2565942850440343,detail_texture,high clarity,A,False
low_light_noise,0.9029527808162342,0.020781688145611696,0.023015254603707912,0.019018519204114584,0.022649098424898522,1712,428,4,0.3056180049154163,detail_texture,clean low light,A,True
framing,0.830568948416776,0.021294191092011867,0.02563807752818437,0.019245641239667596,0.023312848651365077,1712,428,4,0.3330099346223908,detail_texture,clean framing,A,True
instant_camera_cues,-0.7059110910084114,-0.016882561249446138,0.023915988096077343,-0.018803722939263887,-0.014989877398477241,1712,428,4,-0.3021847737946279,provenance_process,instant film texture,B,True
composition_balance,0.6884807287843419,0.016382117828466405,0.02379459169088508,0.01451273356973707,0.018200710024139376,1712,428,4,0.1741127262749222,detail_texture,balanced composition,B,False
dslr_cues,0.7072716045843374,0.02644543372482488,0.03739077541557296,0.02325220437191885,0.02970409634631903,1712,428,4,0.1505349101369976,provenance_process,DSLR capture cues present,B,False
drone_camera_cues,0.7155142915651242,0.022521805446499073,0.03147638797994463,0.01996979936298645,0.0252511838880728,1712,428,4,0.1397162047856794,provenance_process,drone aerial cues present,B,False
material_specularity,0.7873666541831197,0.017479826680969212,0.022200364452955215,0.015700366162556503,0.01918198213587789,1712,428,4,0.0517988143234862,other,correct specular response,B,False
sharpness,0.8218090328108482,0.018266031424815577,0.022226613112708123,0.016579510990359914,0.020011944239963487,1712,428,4,0.0883930990641269,detail_texture,sharp detail,B,False
global_illumination,0.8249668976061425,0.02029772222791214,0.024604286895403074,0.018353847698981622,0.022275745720844363,1712,428,4,0.1143025929340595,other,visible bounce light,B,False
dashcam_cues,0.8287725478763622,0.023343153532531396,0.02816593478192013,0.02126234545782548,0.025561924548335637,1712,428,4,0.0462894166411052,provenance_process,"dashcam capture cues
present",B,False
framing,0.830568948416776,0.021294191092011867,0.02563807752818437,0.019245641239667596,0.023312848651365077,1712,428,4,0.3330099346223908,detail_texture,clean framing,B,True
mirrorless_cues,0.8843075139058888,0.0329613799830776,0.037273662684930514,0.030021585572999557,0.03598378571692825,1712,428,4,0.1442464608369274,provenance_process,"mirrorless capture cues
present",B,False
low_light_noise,0.9029527808162342,0.020781688145611696,0.023015254603707912,0.019018519204114584,0.022649098424898522,1712,428,4,0.3056180049154163,detail_texture,clean low light,B,True
panning,1.034495286405564,0.027253333655064008,0.026344570162091192,0.02507138234191465,0.02931829590732496,1712,428,4,0.1221063630399994,detail_texture,"subject sharp with
streaked background",B,False
