cue,d_q,delta,delta_sd,delta_ci_lo,delta_ci_hi,n_pairs,n_clusters,n_generators,within_class_r,family,label,panel,in_both_panels
instant_camera_cues,-0.7059110910084114,-0.016882561249446138,0.023915988096077343,-0.018803722939263887,-0.014989877398477241,1712,428,4,-0.3021847737946279,provenance_process,instant film texture,AB,True
documentary_look,-0.6856010891174381,-0.01639847144102218,0.023918385926328726,-0.01836252494565691,-0.014462097186079704,1712,428,4,-0.2164612285114064,other,documentary look,AB,True
clarity,0.5559802430931047,0.014182778262835692,0.025509500452627842,0.012163735063598772,0.016379080520382196,1712,428,4,0.2565942850440343,detail_texture,high clarity,AB,True
long_exposure,0.6167238881081387,0.014554975995267094,0.02360047385210895,0.012728653684842347,0.016513998182159796,1712,428,4,0.2346999314348058,detail_texture,smooth motion trails,AB,True
global_illumination,0.8249668976061425,0.02029772222791214,0.024604286895403074,0.018353847698981622,0.022275745720844363,1712,428,4,0.1143025929340595,other,visible bounce light,AB,True
dashcam_cues,0.8287725478763622,0.023343153532531396,0.02816593478192013,0.02126234545782548,0.025561924548335637,1712,428,4,0.0462894166411052,provenance_process,"dashcam capture cues
present",AB,True
framing,0.830568948416776,0.021294191092011867,0.02563807752818437,0.019245641239667596,0.023312848651365077,1712,428,4,0.3330099346223908,detail_texture,clean framing,AB,True
mirrorless_cues,0.8843075139058888,0.0329613799830776,0.037273662684930514,0.030021585572999557,0.03598378571692825,1712,428,4,0.1442464608369274,provenance_process,"mirrorless capture cues
present",AB,True
low_light_noise,0.9029527808162342,0.020781688145611696,0.023015254603707912,0.019018519204114584,0.022649098424898522,1712,428,4,0.3056180049154163,detail_texture,clean low light,AB,True
panning,1.034495286405564,0.027253333655064008,0.026344570162091192,0.02507138234191465,0.02931829590732496,1712,428,4,0.1221063630399994,detail_texture,"subject sharp with
streaked background",AB,True
