dataset_a,dataset_b,sigma_cosine,panel,cue,alpha_coef,boot_freq,side
synthclic,synthclic,1.0,similarity_annotation,,,,
cnnspot,synthclic,-0.206774834239035,similarity_annotation,,,,
synthbuster-plus,synthclic,0.3111284146666771,similarity_annotation,,,,
synthclic,cnnspot,-0.206774834239035,similarity_annotation,,,,
cnnspot,cnnspot,1.0,similarity_annotation,,,,
synthbuster-plus,cnnspot,0.352775840497555,similarity_annotation,,,,
synthclic,synthbuster-plus,0.3111284146666771,similarity_annotation,,,,
cnnspot,synthbuster-plus,0.352775840497555,similarity_annotation,,,,
synthbuster-plus,synthbuster-plus,1.0,similarity_annotation,,,,
,,,delta_axes,posterization,-0.39307,1.0,synthclic_synthetic
,,,delta_axes,pinhole_camera_cues,-0.316938,1.0,synthclic_synthetic
,,,delta_axes,chromatic_aberration,-0.251946,1.0,synthclic_synthetic
,,,delta_axes,film_grain,-0.228669,1.0,synthclic_synthetic
,,,delta_axes,proportion_realism,-0.222284,1.0,synthclic_synthetic
,,,delta_axes,depth_layering,-0.218614,1.0,synthclic_synthetic
,,,delta_axes,color_harmony,-0.208651,1.0,synthclic_synthetic
,,,delta_axes,infrared_camera_cues,-0.180176,1.0,synthclic_synthetic
,,,delta_axes,lens_flare,0.19562,1.0,cnnspot_synthetic
,,,delta_axes,vignette_edit,0.200282,1.0,cnnspot_synthetic
,,,delta_axes,retouching,0.232405,1.0,cnnspot_synthetic
,,,delta_axes,compression_artifacts,0.244836,1.0,cnnspot_synthetic
,,,delta_axes,upscaler_artifacts,0.289957,1.0,cnnspot_synthetic
,,,delta_axes,color_bleeding,0.359925,1.0,cnnspot_synthetic
