dataset,concept,contribution,contribution_synth,contribution_real,activation_prob,usage_synth,usage_real,auc,n_images
cnnspot,saturation,-7.842584e-05,-1.7368966e-05,-0.00013803481,0.0002857209,0.0,0.0,0.8020007381062872,4000
cnnspot,desaturation,2.3069324e-08,4.7186774e-08,-4.761624e-10,0.00034759345,0.0,0.0,0.5493552321534301,4000
cnnspot,vibrance,0.0019242074,0.0032295892,0.000649782,0.0041883,0.003036437246963563,0.0009881422924901185,0.5078662577411146,4000
cnnspot,color_temperature,0.014942028,0.02120006,0.008832406,0.024865057,0.018724696356275303,0.00691699604743083,0.6215162483397609,4000
cnnspot,white_balance,4.2092697e-06,1.9543313e-06,6.410737e-06,0.0001339043,0.0,0.0,0.5836345433742459,4000
cnnspot,contrast,-4.6852807e-07,-3.592287e-07,-5.752342e-07,0.0003255813,0.0,0.0,0.5629890704261414,4000
cnnspot,dynamic_range,2.123727e-05,3.115156e-05,1.155819e-05,0.00015970817,0.0,0.0,0.6117024601542622,4000
cnnspot,shadow_detail,-4.2918696e-06,-1.879924e-07,-8.2984325e-06,7.5640884e-05,0.0,0.0,0.539353541910035,4000
cnnspot,highlight_detail,7.020343e-08,3.3382882e-08,1.061506e-07,0.00032296104,0.0,0.0,0.5541818021795138,4000
cnnspot,black_point,4.7937497e-06,5.3156236e-06,4.284262e-06,7.551815e-05,0.0,0.0,0.5590682558288393,4000
cnnspot,color_accuracy,0.31730294,0.62017745,0.021611491,0.3697302,0.6912955465587044,0.030632411067193676,0.8940959998239746,4000
cnnspot,skin_tone,-4.0400687e-06,1.3269926e-06,-9.279847e-06,7.759358e-05,0.0,0.0,0.5734306990206589,4000
cnnspot,hue_consistency,-5.8460395e-05,-1.4099559e-05,-0.0001017691,0.00016824782,0.0,0.0,0.7733011053591717,4000
cnnspot,color_banding,-4.4452966e-07,-3.0104863e-07,-5.8460716e-07,0.00035804888,0.0,0.0,0.5624676203373286,4000
cnnspot,color_bleeding,-0.0028378286,-0.000970916,-0.0046604755,0.004236579,0.0,0.001976284584980237,0.6940709462162551,4000
cnnspot,color_depth,6.376885e-06,8.805681e-06,4.0056925e-06,0.00017018331,0.0,0.0,0.5147378722536046,4000
cnnspot,chroma_noise,2.3777891e-05,2.667409e-05,2.0950483e-05,0.00011502692,0.0,0.0,0.5538522547246805,4000
cnnspot,tint,-9.31615e-06,-8.9972065e-07,-1.753297e-05,8.417996e-05,0.0,0.0,0.8174408364804532,4000
cnnspot,split_toning,-4.403735e-06,-5.134981e-07,-8.201707e-06,3.357771e-05,0.0,0.0,0.7423771523099326,4000
cnnspot,color_harmony,-0.01073351,-0.0005549945,-0.020670632,0.015648752,0.0010121457489878543,0.017292490118577076,0.6243211522459234,4000
cnnspot,color_uniformity,-0.0014363241,-0.00079991884,-0.0020576408,0.0025015795,0.0005060728744939271,0.0024703557312252965,0.6741475772511242,4000
cnnspot,highlight_rolloff,-0.013713656,-0.0027199802,-0.024446625,0.027598862,0.0005060728744939271,0.020256916996047432,0.704111642076459,4000
cnnspot,shadow_color,-8.172193e-06,-1.0409941e-06,-1.5134247e-05,0.00016546511,0.0,0.0,0.5324082917940184,4000
cnnspot,highlight_color,-0.00058687717,-0.00010443682,-0.0010578764,0.0019087879,0.0,0.0,0.5645405438383126,4000
cnnspot,gamut_clipping,-4.1306334e-06,6.629252e-06,-1.463535e-05,0.00019361566,0.0,0.0,0.5977110703941367,4000
cnnspot,depth_of_field,-5.0041843e-05,-1.7706014e-06,-9.716812e-05,0.0004162049,0.0,0.0,0.6051666439967356,4000
cnnspot,bokeh_quality,-0.0021628246,-0.0005275932,-0.0037592838,0.0032581643,0.0,0.001976284584980237,0.6506804479845097,4000
cnnspot,chromatic_aberration,-0.00027985338,-3.231907e-05,-0.00052151683,0.00072633824,0.0,0.0004940711462450593,0.7649261493655086,4000
cnnspot,vignetting,7.795527e-09,-2.3451236e-08,3.8301188e-08,0.00032793503,0.0,0.0,0.5650269888863997,4000
cnnspot,lens_distortion,-0.00023488616,-3.4502486e-05,-0.0004305176,0.00047690966,0.0,0.0,0.7661708285993183,4000
cnnspot,fisheye_effect,-6.3958544e-07,-2.2788785e-07,-1.0415205e-06,0.00032541616,0.0,0.0,0.5677433800467266,4000
cnnspot,field_curvature,-1.3728618e-07,-2.9005176e-07,1.1856556e-08,0.0003465054,0.0,0.0,0.5510581023667409,4000
cnnspot,lens_flare,-1.5229014e-06,-6.917522e-07,-2.3343425e-06,0.0003047085,0.0,0.0,0.5665462076539022,4000
cnnspot,ghosting,-6.2794075e-05,-7.7627135e-07,-0.00012334125,0.0001557301,0.0,0.0,0.7903098046118641,4000
cnnspot,sunstars,5.364286e-07,9.5052604e-07,1.3215204e-07,0.00031721857,0.0,0.0,0.5558129120593366,4000
cnnspot,focus_accuracy,0.0001282394,0.00026959114,-9.7601e-06,0.0009778508,0.0,0.0,0.5489683014354066,4000
cnnspot,focus_uniformity,0.0016040559,0.0042276094,-0.0009572839,0.0133459205,0.006072874493927126,0.006422924901185771,0.5727607275447664,4000
cnnspot,focus_breathing,-0.00036478956,-4.099702e-05,-0.0006809029,0.0012967219,0.0,0.0,0.7785091053111648,4000
cnnspot,edge_sharpness,-6.654548e-08,-1.6833215e-07,3.2827284e-08,0.0003437301,0.0,0.0,0.541190056368117,4000
cnnspot,coma_aberration,0.041430905,0.07026634,0.013279358,0.06280094,0.0597165991902834,0.007411067193675889,0.73658756860988,4000
cnnspot,astigmatism_aberration,-0.00010948904,-2.1929975e-06,-0.00021424046,0.00037493274,0.0,0.0,0.7934827615176585,4000
cnnspot,onion_ring_bokeh,-0.12145719,-0.01602299,-0.22439136,0.14562318,0.013663967611336033,0.26383399209486164,0.881934748603799,4000
cnnspot,cat_eye_bokeh,-0.0025455754,-0.0011662428,-0.0038922087,0.004321576,0.0010121457489878543,0.001976284584980237,0.7442299191083517,4000
cnnspot,edge_color_shading,-6.795256e-05,-2.7704475e-05,-0.00010724641,0.00015650394,0.0,0.0,0.5886917716151125,4000
cnnspot,macro_rendering,-0.0005306414,-5.828343e-06,-0.0010430089,0.0008825769,0.0,0.0,0.783008003152454,4000
cnnspot,sharpness,-0.00031414852,-0.00042533397,-0.00020560014,0.0007725411,0.0,0.0,0.5712393834712198,4000
cnnspot,motion_freeze,-0.0025551652,-0.0003705006,-0.004688026,0.004348748,0.0,0.001976284584980237,0.785683013353923,4000
cnnspot,exposure_accuracy,0.12296539,0.23687276,0.011759512,0.17719422,0.29959514170040485,0.025197628458498024,0.8292576631034869,4000
cnnspot,low_light_noise,-6.0328813e-07,-6.155953e-07,-5.9127234e-07,0.00033287785,0.0,0.0,0.5557152729993119,4000
cnnspot,film_grain,0.006201848,0.01341423,-0.0008394922,0.04369258,0.0465587044534413,0.007411067193675889,0.7106365816677602,4000
cnnspot,hdr_tonemapping,2.7791162e-07,6.1567414e-07,-5.1840058e-08,0.0003493834,0.0,0.0,0.5515961798498984,4000
cnnspot,long_exposure,3.2258032e-07,1.3705098e-07,5.03709e-07,0.00032106094,0.0,0.0,0.5486920116496775,4000
cnnspot,panning,0.27788636,0.5228989,0.03868386,0.3052572,0.5617408906882592,0.03507905138339921,0.8569709038101486,4000
cnnspot,composition_balance,-1.7789726e-07,2.515106e-07,-5.971211e-07,0.00032475474,0.0,0.0,0.5564167490118578,4000
cnnspot,rule_of_thirds,-4.088292e-07,-2.1340165e-07,-5.996226e-07,0.00032693884,0.0,0.0,0.552763597958106,4000
cnnspot,symmetry,0.13896292,0.27763414,0.0035802005,0.156641,0.28795546558704455,0.003458498023715415,0.8074717759357348,4000
cnnspot,leading_lines,8.938906e-07,1.2735806e-06,5.2320627e-07,0.0003197034,0.0,0.0,0.5393985483909683,4000
cnnspot,framing,-0.00018053674,-1.6370432e-05,-0.0003408095,0.0005614644,0.0,0.0,0.714860439903346,4000
cnnspot,horizon_line,-4.269961e-07,-3.6149527e-07,-4.909433e-07,0.00032154948,0.0,0.0,0.5570384635387495,4000
cnnspot,subject_isolation,-1.0783896e-05,-2.3965263e-06,-1.8972343e-05,6.9757756e-05,0.0,0.0,0.8316841375158023,4000
cnnspot,depth_cues,2.2124352e-08,3.953707e-08,5.124531e-09,0.00032416888,0.0,0.0,0.5518312136947721,4000
cnnspot,lighting_quality,0.00459209,0.007747764,0.0015112556,0.010216158,0.0020242914979757085,0.0,0.6164255152741994,4000
cnnspot,backlighting,2.6011285e-06,2.259499e-06,2.9346497e-06,3.651314e-05,0.0,0.0,0.568459733201581,4000
cnnspot,silhouette,0.035437737,0.05800513,0.01340554,0.05877152,0.0652834008097166,0.005928853754940711,0.6597467535325087,4000
cnnspot,micro_contrast,-0.00017980432,-6.547362e-06,-0.00034895205,0.00044111747,0.0,0.0,0.7689292258085164,4000
cnnspot,texture_detail,0.15860125,0.30375674,0.016888496,0.2588627,0.4473684210526316,0.04298418972332016,0.8305450984941831,4000
cnnspot,sharpening_artifacts,-9.7764736e-05,-1.078855e-05,-0.00018267824,0.0003735177,0.0,0.0,0.7782095621769535,4000
cnnspot,denoising_artifacts,5.4704736e-07,8.767607e-07,2.2515303e-07,0.00031467457,0.0,0.0,0.5460687589012818,4000
cnnspot,compression_artifacts,0.028532919,0.052952565,0.004692345,0.08114191,0.09716599190283401,0.010375494071146246,0.6368927125506072,4000
cnnspot,posterization,-3.2701362e-07,5.581484e-07,-1.1911812e-06,0.00035138475,0.0,0.0,0.5586415693859916,4000
cnnspot,moire_pattern,0.36726242,0.708575,0.03404543,0.41898727,0.792004048582996,0.026185770750988144,0.9481205293562273,4000
cnnspot,banding,-0.0037530249,-0.0005580122,-0.006872258,0.0057798033,0.0005060728744939271,0.004940711462450593,0.728571664319662,4000
cnnspot,vignette_edit,1.0578077e-07,6.5250426e-08,1.4534973e-07,0.0003293399,0.0,0.0,0.5630679567857773,4000
cnnspot,bloom,-0.26602882,-0.11359237,-0.41485146,0.25078967,0.09210526315789473,0.40563241106719367,0.8185606227296731,4000
cnnspot,clarity,-9.406461e-05,-3.0143196e-05,-0.0001564702,0.0004082594,0.0,0.0,0.6805912551407403,4000
cnnspot,atmospheric_haze,-1.7495235e-05,-3.0088108e-06,-3.1638083e-05,0.00021156955,0.0,0.0,0.560130158742859,4000
cnnspot,retouching,0.0030435685,0.0050250376,0.0011091002,0.005959507,0.005566801619433198,0.0009881422924901185,0.5786885811556863,4000
cnnspot,watermark,9.768736e-06,4.6969246e-05,-2.6549536e-05,0.0005929657,0.0,0.0,0.6056692163671568,4000
cnnspot,upscaler_artifacts,1.9164057e-05,6.131165e-05,-2.1983977e-05,0.000688281,0.0,0.0,0.6380836340433023,4000
cnnspot,edge_halos,-0.000413133,-2.9068893e-05,-0.00078808906,0.00072596426,0.0,0.0,0.7483142572530445,4000
cnnspot,flash_use,-9.0133355e-05,3.5810191e-07,-0.00017847853,0.00037864354,0.0,0.0,0.7021876150165623,4000
cnnspot,camera_shake,0.18131019,0.3607232,0.006152219,0.3308194,0.5981781376518218,0.06472332015810277,0.8482056416123922,4000
cnnspot,focus_stacking,-7.1544645e-07,-9.475279e-07,-4.888695e-07,0.00034875397,0.0,0.0,0.5795725834520171,4000
cnnspot,smartphone_cues,0.0018056062,0.0028744086,0.00076215353,0.008080072,0.0015182186234817814,0.0004940711462450593,0.6377295830599606,4000
cnnspot,rolling_shutter,-8.077606e-06,-1.507114e-06,-1.4492277e-05,9.218262e-05,0.0,0.0,0.6549590641052312,4000
cnnspot,sensor_bloom,1.9995134e-07,-6.862698e-08,4.6216027e-07,0.0003569118,0.0,0.0,0.5701722298010914,4000
cnnspot,tone_mapping_baked,0.00046643137,0.0005574283,0.00037759362,0.0013669082,0.0,0.0004940711462450593,0.6705499341905234,4000
cnnspot,dslr_cues,1.2148979e-06,1.2132252e-06,1.2165328e-06,2.7597303e-05,0.0,0.0,0.577138357923541,4000
cnnspot,mirrorless_cues,-0.0004234632,-3.0471794e-05,-0.0008071335,0.00087398244,0.0,0.0,0.6633705253556512,4000
cnnspot,film_camera_cues,-5.4416006e-07,-2.9608063e-07,-7.863564e-07,0.00032417057,0.0,0.0,0.5634162569409995,4000
cnnspot,medium_format_cues,-3.5090795e-07,-1.0414161e-07,-5.9182247e-07,0.00034675148,0.0,0.0,0.5470278970171705,4000
cnnspot,large_format_cues,-2.859365e-05,1.0286418e-05,-6.655174e-05,0.00049752457,0.0,0.0,0.5382687607015411,4000
cnnspot,instant_camera_cues,-0.01804136,-0.0015196564,-0.034171294,0.022100527,0.0010121457489878543,0.025691699604743084,0.7998776823862637,4000
cnnspot,action_camera_cues,9.96389e-07,4.9717e-07,1.4837691e-06,1.3269022e-05,0.0,0.0,0.6425330247555647,4000
cnnspot,dashcam_cues,0.00021031969,0.00028905226,0.0001334553,0.0021440813,0.0,0.0004940711462450593,0.511962722632059,4000
cnnspot,cctv_cues,6.3010956e-09,1.5093525e-08,-2.2828246e-09,0.00032540734,0.0,0.0,0.5613608359603783,4000
cnnspot,drone_camera_cues,-1.2112079e-06,-8.8984063e-07,-1.5249542e-06,0.00030822642,0.0,0.0,0.5985304383831271,4000
cnnspot,microscope_cues,-0.00057611323,-2.1538774e-05,-0.001117535,0.0009528772,0.0,0.0004940711462450593,0.8614970555760029,4000
cnnspot,night_vision_cues,3.3297016e-07,3.595377e-07,3.070329e-07,0.0003413346,0.0,0.0,0.5434547574850779,4000
cnnspot,infrared_camera_cues,-0.13991167,-0.031072645,-0.24617,0.15527497,0.025303643724696356,0.24654150197628458,0.8456230197148389,4000
cnnspot,pinhole_camera_cues,0.068767935,0.1050409,0.03335545,0.08860161,0.10020242914979757,0.012351778656126482,0.7506538441535581,4000
cnnspot,cgi_cues,7.89213e-08,2.2097227e-08,1.3439781e-07,0.00035699527,0.0,0.0,0.5722844089548895,4000
cnnspot,geometry_consistency,1.1079059e-06,6.373898e-07,1.567265e-06,0.00038375353,0.0,0.0,0.5477982579491447,4000
cnnspot,reflection_consistency,0.00062686484,0.00073396467,0.0005223023,0.0019082455,0.0005060728744939271,0.0,0.538127990430622,4000
cnnspot,shadow_consistency,1.4918722e-07,2.0731517e-07,9.2438164e-08,0.00029666736,0.0,0.0,0.5552652081899794,4000
cnnspot,lighting_direction,-1.3633179e-05,-5.31305e-06,-2.1755975e-05,0.00011683623,0.0,0.0,0.6612342177273527,4000
cnnspot,specular_highlights,-1.6864944e-06,-6.3857203e-07,-2.7095668e-06,0.0003325912,0.0,0.0,0.5595875806116081,4000
cnnspot,texture_realism,1.7781119e-06,1.7848777e-06,1.7715083e-06,0.0003401121,0.0,0.0,0.5291646997167592,4000
cnnspot,tiling_artifacts,0.36090168,0.69485456,0.03486905,0.38344866,0.7125506072874493,0.045454545454545456,0.9029710278280072,4000
cnnspot,object_boundaries,-0.00013917012,-5.394567e-06,-0.00026977345,0.0009037292,0.0,0.0004940711462450593,0.6869284176921476,4000
cnnspot,edge_aliasing,-0.0060996492,-0.0004097606,-0.011654622,0.00857372,0.0,0.007905138339920948,0.7408481821382279,4000
cnnspot,oversharpening,0.2660098,0.5280909,0.010144337,0.43927452,0.7935222672064778,0.06719367588932806,0.9368601578627322,4000
cnnspot,text_legibility,0.0045304783,0.007656433,0.0014786643,0.01227832,0.0075910931174089065,0.0014822134387351778,0.6738032776719848,4000
cnnspot,face_anatomy,-0.0019032563,-0.00025661525,-0.0035108486,0.0027569518,0.0,0.0014822134387351778,0.6999450420860605,4000
cnnspot,hands_correctness,0.02294431,0.036961433,0.009259632,0.0454865,0.039473684210526314,0.003458498023715415,0.6465918592277289,4000
cnnspot,count_consistency,-0.0002119405,-6.5202858e-06,-0.00041248888,0.00042721088,0.0,0.0,0.7580491590789074,4000
