seed_a,seed_b,sigma_cosine,raw_cosine,logit_pearson,logit_spearman,decision_agreement,top50_jaccard,bottom50_jaccard,cue_profile_spearman
123,124,0.99193,0.987198,0.99193,0.989288,0.984579,0.724138,0.818182,0.990856
123,125,0.992979,0.989369,0.992979,0.9911,0.983178,0.818182,0.754386,0.994543
123,126,0.988734,0.985637,0.988734,0.98635,0.979439,0.694915,0.694915,0.984053
123,127,0.989332,0.969537,0.989332,0.986514,0.979907,0.666667,0.785714,0.994802
124,125,0.99266,0.987602,0.99266,0.990492,0.986449,0.818182,0.818182,0.991985
124,126,0.987789,0.983133,0.987789,0.984562,0.984579,0.694915,0.785714,0.985124
124,127,0.987234,0.970046,0.987234,0.983804,0.980374,0.612903,0.818182,0.994207
125,126,0.989561,0.988643,0.989561,0.986752,0.986916,0.694915,0.818182,0.989935
125,127,0.988248,0.969356,0.988248,0.98583,0.978972,0.639344,0.724138,0.996728
126,127,0.982781,0.957165,0.982781,0.979381,0.978972,0.587302,0.694915,0.990486
