seed_a,seed_b,sigma_cosine,raw_cosine,logit_pearson,logit_spearman,decision_agreement,top50_jaccard,bottom50_jaccard,cue_profile_spearman
123,124,0.995192,0.952622,0.995192,0.994851,0.93575,0.694915,0.612903,0.997343
123,125,0.996669,0.9447,0.996669,0.996541,0.96625,0.5625,0.587302,0.999107
123,126,0.996656,0.946392,0.996656,0.996348,0.95275,0.694915,0.639344,0.998694
123,127,0.997407,0.94404,0.997407,0.99734,0.97575,0.694915,0.612903,0.999628
124,125,0.997331,0.965411,0.997331,0.996968,0.959,0.639344,0.785714,0.998922
124,126,0.998134,0.975842,0.998134,0.998051,0.976,0.785714,0.724138,0.999347
124,127,0.996798,0.973342,0.996798,0.996646,0.95,0.724138,0.851852,0.998056
125,126,0.997453,0.962087,0.997453,0.99705,0.966,0.612903,0.666667,0.999413
125,127,0.99803,0.964327,0.99803,0.997989,0.9785,0.666667,0.724138,0.999448
126,127,0.997818,0.969573,0.997818,0.997676,0.965,0.694915,0.694915,0.999142
