family,seed_a,seed_b,sigma_cosine,raw_cosine,logit_pearson,logit_spearman,decision_agreement,top50_jaccard,bottom50_jaccard,cue_profile_spearman,axis_cos_min,axis_cos_max
k1_refits,123,124,0.99193,0.987198,0.99193,0.989288,0.984579,0.724138,0.818182,0.990856,,
k1_refits,123,125,0.992979,0.989369,0.992979,0.9911,0.983178,0.818182,0.754386,0.994543,,
k1_refits,123,126,0.988734,0.985637,0.988734,0.98635,0.979439,0.694915,0.694915,0.984053,,
k1_refits,123,127,0.989332,0.969537,0.989332,0.986514,0.979907,0.666667,0.785714,0.994802,,
k1_refits,124,125,0.99266,0.987602,0.99266,0.990492,0.986449,0.818182,0.818182,0.991985,,
k1_refits,124,126,0.987789,0.983133,0.987789,0.984562,0.984579,0.694915,0.785714,0.985124,,
k1_refits,124,127,0.987234,0.970046,0.987234,0.983804,0.980374,0.612903,0.818182,0.994207,,
k1_refits,125,126,0.989561,0.988643,0.989561,0.986752,0.986916,0.694915,0.818182,0.989935,,
k1_refits,125,127,0.988248,0.969356,0.988248,0.98583,0.978972,0.639344,0.724138,0.996728,,
k1_refits,126,127,0.982781,0.957165,0.982781,0.979381,0.978972,0.587302,0.694915,0.990486,,
k8_effective,123,124,0.957291,0.919305,0.957291,0.946326,0.975701,0.449275,0.694915,0.962913,,
k8_effective,123,125,0.969856,0.915823,0.969856,0.96197,0.97757,0.449275,0.694915,0.994921,,
k8_effective,123,126,0.962786,0.917574,0.962786,0.952215,0.97243,0.538462,0.666667,0.982203,,
k8_effective,123,127,0.964409,0.92106,0.964409,0.955088,0.96729,0.538462,0.694915,0.986202,,
k8_effective,124,125,0.953567,0.923488,0.953567,0.944663,0.974766,0.449275,0.538462,0.957365,,
k8_effective,124,126,0.962791,0.925278,0.962791,0.952675,0.974299,0.470588,0.639344,0.976081,,
k8_effective,124,127,0.962765,0.923087,0.962765,0.95544,0.972897,0.515152,0.612903,0.978538,,
k8_effective,125,126,0.963431,0.922768,0.963431,0.953185,0.969626,0.5625,0.639344,0.980436,,
k8_effective,125,127,0.968323,0.92344,0.968323,0.960664,0.972897,0.515152,0.666667,0.98563,,
k8_effective,126,127,0.96873,0.929093,0.96873,0.95987,0.973364,0.538462,0.694915,0.986138,,
k8_individual_axes,123,124,,0.298572,,,,,,0.023535250000000014,0.033933,0.564462
k8_individual_axes,123,125,,0.262385,,,,,,-0.10197499999999998,0.125454,0.675253
k8_individual_axes,123,126,,0.250822,,,,,,-0.10253275000000002,0.026557,0.601598
k8_individual_axes,123,127,,0.277393,,,,,,0.44709462499999997,0.060671,0.57715
k8_individual_axes,124,125,,0.258346,,,,,,-0.05463700000000002,0.058942,0.699734
k8_individual_axes,124,126,,0.302371,,,,,,0.28728687500000005,0.10765,0.664277
k8_individual_axes,124,127,,0.309388,,,,,,-0.10763225000000004,0.170773,0.520327
k8_individual_axes,125,126,,0.306157,,,,,,0.47636962499999996,0.039346,0.650451
k8_individual_axes,125,127,,0.31898,,,,,,0.263945625,0.113829,0.677385
k8_individual_axes,126,127,,0.309021,,,,,,0.056824125,0.168143,0.545051
