seed_a,seed_b,sigma_cosine,raw_cosine,logit_pearson,logit_spearman,decision_agreement,cue_profile_spearman
123,124,0.994616,0.981557,0.994616,0.993632,0.984112,0.995973
123,125,0.995459,0.994129,0.995459,0.994214,0.987383,0.995523
123,126,0.992256,0.991128,0.992256,0.990511,0.981308,0.992382
123,127,0.995083,0.993205,0.995083,0.993865,0.978505,0.997024
124,125,0.994637,0.980206,0.994637,0.993461,0.988318,0.995971
124,126,0.992515,0.981624,0.992515,0.990813,0.986916,0.992162
124,127,0.992694,0.97817,0.992694,0.991169,0.98785,0.993473
125,126,0.991907,0.990887,0.991907,0.989706,0.988318,0.989649
125,127,0.994819,0.994846,0.994819,0.993237,0.986449,0.991663
126,127,0.994147,0.990391,0.994147,0.992871,0.986916,0.9902
