rank,image_id,source,label,logit
1,3c48f2b289ee49af7d78bf43d3e73334,FLUX.1-dev,1,4.930116230702827
2,acda8851def5fe87ebfe17f4ca90e55e,FLUX.1-schnell,1,4.712356044105531
3,f851c62b712ee4bb3d6f1f997a3d14b6,FLUX.1-dev,1,4.689981607007012
4,08eba944d75efaf0bf3390e68c8d03b0,FLUX.1-schnell,1,4.632073949962119
5,1c1e89258c38f044d27681546a343b74,FLUX.1-dev,1,4.594132554777678
6,6e8e3df4edba76eb404df781a3da8cbb,SD3-medium,1,4.592886182202532
7,0c0ba31b279da4b8a0b848b63d302e8b,FLUX.1-dev,1,4.56338063894562
8,c1665c556bd2ac16fa7337bc12842980,FLUX.1-schnell,1,4.52249860623716
9,d4264adbfa1f3ab71cb7735f5b4c4217,FLUX.1-schnell,1,4.49031709842817
10,ba783d6487425929ba30a57bdc24e85b,FLUX.1-schnell,1,4.490123122511911
11,cccd2e76c4f6c04b92c7d5054d9a297c,FLUX.1-schnell,1,4.414601514752574
12,cc9af24acb10683820d78b762aebccf6,FLUX.1-dev,1,4.413524791907428
13,e58eeecc69309177f30808d671d08a55,FLUX.1-schnell,1,4.397135556156194
14,7fc7ed44a93054286e9710dfc9f8b198,FLUX.1-schnell,1,4.391561789260517
15,8205157acd6ac8837b60e9e31bcd53cf,FLUX.1-schnell,1,4.386799991280025
16,1246a1ceedd35a125a01a8b0a0e7d370,imagen3,1,4.385828780069538
17,e1b6c64b3c65e8e76327a4d018a6a519,SD3-medium,1,4.384259902068139
18,cccd2e76c4f6c04b92c7d5054d9a297c,FLUX.1-dev,1,4.38156982320994
19,a7c9a1e0c3f6ae110682e8b4c9712d9e,SD3-medium,1,4.372842383180021
20,97ef70e989259fe49c501c95bae1134f,FLUX.1-schnell,1,4.37095302302088
21,8334db468daf574447be50b4c0cd894d,imagen3,1,4.36053690149317
22,4ad43299135101f0770e09c442efe37f,FLUX.1-schnell,1,4.320760879322379
23,34d46a0d11895ef3564fc27b617a6da3,FLUX.1-schnell,1,4.316347486302581
24,21b5baacb401b42092335cd05bac272d,FLUX.1-dev,1,4.303996239039631
25,e2a0742ef3b9e88a0b4a1ef4f3aad4f3,FLUX.1-schnell,1,4.294924975658851
26,ba783d6487425929ba30a57bdc24e85b,SD3-medium,1,4.286755663334734
27,e2a0742ef3b9e88a0b4a1ef4f3aad4f3,FLUX.1-dev,1,4.280266811900567
28,5695a48adb13ae6b78fafeff2f4acf3f,FLUX.1-dev,1,4.274770966199602
29,a7c9a1e0c3f6ae110682e8b4c9712d9e,FLUX.1-schnell,1,4.2679767932803125
30,21b5baacb401b42092335cd05bac272d,FLUX.1-schnell,1,4.241136064744153
31,e4f6ab5f5cb9df159221da2b6fc3ff67,FLUX.1-schnell,1,4.203340233037566
32,85e6554aedd269c6a08c24ee4cd1f74b,FLUX.1-schnell,1,4.174378023913596
33,80518befd628a47b67fcd9dc9afc50f0,FLUX.1-dev,1,4.169924212627305
