cue,alpha_coef,boot_freq,side
posterization,-0.39307,1.0,synthclic_synthetic
color_bleeding,0.359925,1.0,cnnspot_synthetic
pinhole_camera_cues,-0.316938,1.0,synthclic_synthetic
upscaler_artifacts,0.289957,1.0,cnnspot_synthetic
chromatic_aberration,-0.251946,1.0,synthclic_synthetic
compression_artifacts,0.244836,1.0,cnnspot_synthetic
retouching,0.232405,1.0,cnnspot_synthetic
film_grain,-0.228669,1.0,synthclic_synthetic
proportion_realism,-0.222284,1.0,synthclic_synthetic
depth_layering,-0.218614,1.0,synthclic_synthetic
color_harmony,-0.208651,1.0,synthclic_synthetic
vignette_edit,0.200282,1.0,cnnspot_synthetic
lens_flare,0.19562,1.0,cnnspot_synthetic
infrared_camera_cues,-0.180176,1.0,synthclic_synthetic
depth_cues,0.170349,1.0,cnnspot_synthetic
instant_camera_cues,0.166801,1.0,cnnspot_synthetic
low_light_noise,-0.164032,1.0,synthclic_synthetic
tint,0.159773,1.0,cnnspot_synthetic
field_curvature,-0.155706,1.0,synthclic_synthetic
lighting_quality,0.154345,1.0,cnnspot_synthetic
vignetting,-0.15404,1.0,synthclic_synthetic
eye_catchlight,-0.149901,1.0,synthclic_synthetic
focus_stacking,-0.141823,1.0,synthclic_synthetic
action_camera_cues,0.140833,1.0,cnnspot_synthetic
framing,-0.136893,1.0,synthclic_synthetic
