generator,architecture,n,ap,acc
Dalle2,Commercial,2000,0.4133092018136617,0.432
Dalle3,Commercial,2000,0.7269490922946542,0.581
FLUX-dev,Commercial,2000,0.9066566646875922,0.588
FLUX-schnell,Commercial,2000,0.8773625047004033,0.578
Firefly_Image2,Commercial,3842,0.5964274263945996,0.5674128058302967
Firefly_Image3,Commercial,3896,0.7271689312926196,0.5823921971252567
IdeogramV1,Commercial,2000,0.6354764766244456,0.5715
IdeogramV2,Commercial,2000,0.6722414519314229,0.5705
Imagen3,Commercial,2114,0.7021027224983896,0.5837275307473982
MidjourneyV5_2,Commercial,3986,0.679116642056894,0.575765178123432
MidjourneyV6_1,Commercial,3998,0.686192480313909,0.5630315157578789
DFGAN,GAN,2000,0.3245505996142332,0.178
GALIP,GAN,2000,0.48817173972414657,0.49
DeciDiffusionV2,LatDiff,2000,0.9259014910639011,0.7505
LCM_lora_sdv15,LatDiff,2000,0.98617025663129,0.769
LCM_lora_sdxl,LatDiff,2000,0.7745010438853663,0.667
LCM_lora_ssd1b,LatDiff,2000,0.9469491620361039,0.7425
kandinsky_2_2,LatDiff,2000,0.9560860270116209,0.7455
kvikontent_midjourney_v6,LatDiff,2000,0.7775109348826382,0.6795
stable_cascade,Other,2000,0.9901103937404115,0.744
Hourglass,PixDiff,4000,0.395789526316446,0.3815
