test_corpus,generator,train_set,acc,ap,n_fake,n_real,real_pairing
cnnspot,san,cnnspot,0.5727923627684964,0.714749723577934,219,200,matched
cnnspot,seeingdark,cnnspot,0.6666666666666666,0.8324409853671398,180,180,matched
cnnspot,guided,cnnspot,0.7345,0.9047057546395029,1000,1000,matched
cnnspot,deepfake,cnnspot,0.6921369102682701,0.9171630485010924,2698,2707,matched
cnnspot,glide_100_27,cnnspot,0.8455,0.9780107383311994,1000,1000,matched
cnnspot,glide_100_10,cnnspot,0.8605,0.9782311504978861,1000,1000,matched
cnnspot,stylegan2,cnnspot,0.7662118177265899,0.9788803648301013,7988,7988,matched
cnnspot,ldm_200_cfg,cnnspot,0.8615,0.9805316893090203,1000,1000,matched
cnnspot,glide_50_27,cnnspot,0.8815,0.9856748040071492,1000,1000,matched
cnnspot,whichfaceisreal,cnnspot,0.94,0.9927027740722864,1000,1000,matched
cnnspot,stylegan,cnnspot,0.8793189784677016,0.9942336393408862,5991,5991,matched
cnnspot,crn,cnnspot,0.735271074898151,0.996166730138394,6382,6382,matched
cnnspot,dalle,cnnspot,0.9695,0.9964969679407311,1000,1000,matched
cnnspot,ldm_200,cnnspot,0.974,0.9976498029011702,1000,1000,matched
cnnspot,ldm_100,cnnspot,0.978,0.998133477226241,1000,1000,matched
cnnspot,biggan,cnnspot,0.98075,0.9989856512590154,2000,2000,matched
cnnspot,cyclegan,cnnspot,0.9265707797123391,0.999183193368272,1321,1321,matched
cnnspot,imle,cnnspot,0.7355061109370103,0.999746547211665,6382,6382,matched
cnnspot,gaugan,cnnspot,0.9671,0.9999797142000436,5000,5000,matched
cnnspot,stargan,cnnspot,0.9937468734367184,0.9999850461006575,1999,1999,matched
cnnspot,progan,cnnspot,0.9995,0.9999991252024262,4000,4000,matched
cnnspot,stargan,synthbuster-plus,0.4432216108054027,0.332823873502456,1999,1999,matched
cnnspot,stylegan2,synthbuster-plus,0.50100150225338,0.4644610650091755,7988,7988,matched
cnnspot,whichfaceisreal,synthbuster-plus,0.532,0.48408587117144347,1000,1000,matched
cnnspot,stylegan,synthbuster-plus,0.5252879318978467,0.5031307157243504,5991,5991,matched
cnnspot,deepfake,synthbuster-plus,0.5054579093432008,0.5038064186717625,2698,2707,matched
cnnspot,san,synthbuster-plus,0.522673031026253,0.6285992651463269,219,200,matched
cnnspot,ldm_200_cfg,synthbuster-plus,0.517,0.6603673753256541,1000,1000,matched
cnnspot,biggan,synthbuster-plus,0.50675,0.662109174026984,2000,2000,matched
cnnspot,guided,synthbuster-plus,0.534,0.6654131849064442,1000,1000,matched
cnnspot,progan,synthbuster-plus,0.501125,0.6820317781610268,4000,4000,matched
cnnspot,dalle,synthbuster-plus,0.5125,0.6902042230968275,1000,1000,matched
cnnspot,glide_100_10,synthbuster-plus,0.5165,0.7373473171075952,1000,1000,matched
cnnspot,glide_50_27,synthbuster-plus,0.517,0.7442047914767047,1000,1000,matched
cnnspot,imle,synthbuster-plus,0.562597931682858,0.745286357749396,6382,6382,matched
cnnspot,ldm_100,synthbuster-plus,0.518,0.7458410023262071,1000,1000,matched
cnnspot,glide_100_27,synthbuster-plus,0.518,0.7506485134160543,1000,1000,matched
cnnspot,ldm_200,synthbuster-plus,0.518,0.7552580481725771,1000,1000,matched
cnnspot,cyclegan,synthbuster-plus,0.5208175624526874,0.7640174166068596,1321,1321,matched
cnnspot,crn,synthbuster-plus,0.5811657787527421,0.7817594466456098,6382,6382,matched
cnnspot,seeingdark,synthbuster-plus,0.5694444444444444,0.8700546517800398,180,180,matched
cnnspot,gaugan,synthbuster-plus,0.5248,0.8813537367445486,5000,5000,matched
cnnspot,ldm_200,synthclic,0.232,0.3282270703940888,1000,1000,matched
cnnspot,ldm_100,synthclic,0.2365,0.329534357203124,1000,1000,matched
cnnspot,progan,synthclic,0.250375,0.33455943864862037,4000,4000,matched
cnnspot,glide_100_27,synthclic,0.263,0.33544345848595086,1000,1000,matched
cnnspot,glide_100_10,synthclic,0.2675,0.3361145741891175,1000,1000,matched
cnnspot,glide_50_27,synthclic,0.2815,0.3410104003855646,1000,1000,matched
cnnspot,cyclegan,synthclic,0.313777441332324,0.3457796851146458,1321,1321,matched
cnnspot,dalle,synthclic,0.338,0.35952463204933804,1000,1000,matched
cnnspot,guided,synthclic,0.338,0.3622970720083344,1000,1000,matched
cnnspot,ldm_200_cfg,synthclic,0.411,0.3965705153675199,1000,1000,matched
cnnspot,stylegan,synthclic,0.386246035720247,0.4056386118888218,5991,5991,matched
cnnspot,gaugan,synthclic,0.4192,0.4129405312087394,5000,5000,matched
cnnspot,san,synthclic,0.4343675417661098,0.41652140996282383,219,200,matched
cnnspot,stargan,synthclic,0.4517258629314657,0.4394907774587326,1999,1999,matched
cnnspot,seeingdark,synthclic,0.4638888888888889,0.4505647562723175,180,180,matched
cnnspot,whichfaceisreal,synthclic,0.4595,0.45381629467836926,1000,1000,matched
cnnspot,stylegan2,synthclic,0.4656985478217326,0.4569417773008392,7988,7988,matched
cnnspot,biggan,synthclic,0.46475,0.46762292481461876,2000,2000,matched
cnnspot,imle,synthclic,0.5441084299592605,0.5469648743716667,6382,6382,matched
cnnspot,deepfake,synthclic,0.5454209065679926,0.6018381475660833,2698,2707,matched
cnnspot,crn,synthclic,0.7153713569413976,0.743762740144788,6382,6382,matched
cnnspot,san,combined,0.5465393794749404,0.6352938954404498,219,200,matched
cnnspot,guided,combined,0.658,0.717060580763982,1000,1000,matched
cnnspot,deepfake,combined,0.6530989824236818,0.7586979244906631,2698,2707,matched
cnnspot,seeingdark,combined,0.6972222222222222,0.7752157639208873,180,180,matched
