source,metric,value
imagen3,accuracy,0.735981308411215
imagen3,auc,0.883046554284217
imagen3,ap,0.8791059237179062
imagen3,f1,0.7855787476280834
SD3-medium,accuracy,0.7464953271028038
SD3-medium,auc,0.9227225085160277
SD3-medium,ap,0.9153540010043804
SD3-medium,f1,0.7958607714016933
FLUX.1-dev,accuracy,0.7464953271028038
FLUX.1-dev,auc,0.9401530701371299
FLUX.1-dev,ap,0.9360677709529268
FLUX.1-dev,f1,0.7958607714016933
FLUX.1-schnell,accuracy,0.75
FLUX.1-schnell,auc,0.954171761725915
FLUX.1-schnell,ap,0.9530636015781103
FLUX.1-schnell,f1,0.799249530956848
